At1g01050	QGB11L23ygab1
At5g03455	QGB12P14ygab1
At5g03860	QGC4g06ygab1
At5g04000	QGE11G01ygab1
At5g04170	QGB24E19ygab1
At5g04310	QGF5M22ygab1
At5g04420	QGF9L04ygab1
At5g05270	QGF13B01ygab1
At5g05740	QGC18L21ygab1
At5g05920	QGG9H10ygab1
At5g07020	QGF26G15ygab1
At5g07830	QGG21D24ygab1
At5g07840	QGG5G22ygab1
At5g08290	QGC26D15ygab1
At5g08370	QGI17O15ygab1
At5g08650	QGJ14M11ygab1
At5g08740	QGG10C17ygab1
At5g09310	QGI10A23ygab1
At5g09570	QGJ17E15ygab1
At5g09600	QGE18C02ygab1
At5g09790	QGJ12N15ygab1
At5g09920	QGJ4A24ygab1
At5g10450	QGJ14I07ygab1
At5g10480	QGF7G03ygab1
At5g10490	QGC24M03ygab1
At5g10780	QGF12I10ygab1
At5g11260	QGJ12M03ygab1
At5g11500	QGF21L08ygab1
At5g11680	QGF11C23ygab1
At5g11730	QGG20C22ygab1
At5g11770	QGJ12O01ygab1
At5g11950	QGF6A20ygab1
At5g12010	QGF10P08ygab1
At5g12020	QGF16C11ygab1
At5g12040	QGC8I21ygab1
At5g12190	QGJ6A05ygab1
At5g12860	QGB13B04ygab1
At5g13440	QGB25N06ygab1
At5g13640	QGC5O21ygab1
At5g13860	QGJ4H11ygab1
At5g13930	QGG28L07ygab1
At5g14050	QGI10D22ygab1
At5g14105	QGE7N05ygab1
At5g14130	QGB25I22ygab1
At5g14220	QGG16A08ygab1
At5g14250	QGI10J11ygab1
At5g14320	QGJ5C17ygab1
At5g14700	QGF24K04ygab1
At5g14910	QGJ4H07ygab1
At5g15290	QGJ2A04ygab1
At5g15550	QGJ17G08ygab1
At5g15610	QGC14I04ygab1
At5g15750	QGF9N09ygab1
At5g15780	QGC19B18ygab1
At5g16110	QGJ16C18ygab1
At5g16250	QGB16J15ygab1
At5g16270	QGJ6P15ygab1
At5g16400	QGJ14O12ygab1
At5g16550	QGF22N24ygab1
At5g17170	QGF25O10ygab1
At5g17190	QGH13E21ygab1
At5g17330	QGC19A06ygab1
At5g17560	QGA16L10ygab1
At5g17840	QGC23B05ygab1
At5g17920	QGI14N06ygab1
At5g18170	QGJ13I08ygab1
At5g18700	QGG5K10ygab1
At5g19120	QGC17I21ygab1
At5g19140	QGF11E06ygab1
At5g19280	QGB13K21ygab1
At5g19440	QGF5I06ygab1
At5g19620	QGG2e07ygab1
At5g19780	QGC28M22ygab1
At5g19860	QGE10I08ygab1
At5g19900	QGC16H15ygab1
At5g20070	QGF27D10ygab1
At5g20090	QGA11K06ygab1
At5g20130	QGE15P01ygab1
At5g20170	QGJ1O13ygab1
At5g20680	QGJ17E11ygab1
At5g21430	QGF18D18ygab1
At5g21920	QGB27B12ygab1
At5g22300	QGJ4H04ygab1
At5g22360	QGF24A05ygab1
At5g22580	QGF24D09ygab1
At5g22790	QGD8H05ygab1
At5g23120	QGJ9E04ygab1
At5g23250	QGC10E16ygab1
At5g23530	QGF20P08ygab1
At5g23720	QGB23J09ygab1
At5g24490	QGB14O10ygab1
At5g24500	QGE5M20ygab1
At5g24710	QGJ6M22ygab1
At5g24800	QGI5I02ygab1
At5g24930	QGF10H03ygab1
At5g25080	QGI4C09ygab1
At5g25250	QGF12H17ygab1
At5g25360	QGJ11J06ygab1
At5g25757	QGI10F19ygab1
At5g25760	QGF22E23ygab1
At5g25770	QGJ3K18ygab1
At5g26240	QGG28G02ygab1
At5g26360	QGB27K17ygab1
At5g26667	QGB22B02ygab1
At5g26710	QGB22C09ygab1
At5g26880	QGE13L06ygab1
At5g27490	QGF14P10ygab1
At5g27670	QGJ12L21ygab1
At5g27850	QGJ7A13ygab1
At5g28750	QGH5J19ygab1
At5g32426	QGG12P10ygab1
At5g32450	QGB28C24ygab1
At5g35830	QGD10E22ygab1
At5g36110	QGE10K06ygab1
At5g36140	QGG27M17ygab1
At5g37380	QGD10N05ygab1
At5g37600	QGF18P24ygab1
At5g38880	QGJ15C24ygab1
At5g39850	QGI9M03ygab1
At5g40010	QGC5A04ygab1
At5g40300	QGB6L23ygab1
At5g40370	QGE6E07ygab1
At5g40810	QGB16E06ygab1
At5g41685	QGE17M05ygab1
At5g42070	QGF27I18ygab1
At5g42570	QGC26D12ygab1
At5g42800	QGF18K01ygab1
At5g42850	QGE18C18ygab1
At5g42890	QGF9M05ygab1
At5g42960	QGH8B18ygab1
At5g43260	QGJ2G23ygab1
At5g43810	QGJ2C08ygab1
At5g43850	QGF7J24ygab1
At5g44650	QGC8M12ygab1
At5g45380	QGC14K22ygab1
At5g45410	QGE2h10ygab1
At5g45775	QGJ1L12ygab1
At5g46030	QGA3d10ygab1
At5g46110	QGF24H06ygab1
At5g46390	QGJ6F09ygab1
At5g46700	QGJ14J19ygab1
At5g47030	QGB15I17ygab1
At5g47040	QGJ17K14ygab1
At5g47050	QGE17O03ygab1
At5g47120	QGF22G16ygab1
At5g47240	QGG9C07ygab1
At5g47570	QGG12I23ygab1
At5g47910	QGC24O05ygab1
At5g48300	QGA19K19ygab1
At5g48480	QGJ6C11ygab1
At5g49130	QGJ2L05ygab1
At5g49430	QGF19G15ygab1
At5g49480	QGJ1E11ygab1
At5g49550	QGJ12O07ygab1
At5g49720	QGI10K14ygab1
At5g49960	QGB4g03ygab1
At5g50200	QGC15K15ygab1
At5g50230	QGF16P15ygab1
At5g50460	QGJ16B18ygab1
At5g51010	QGE15C07ygab1
At5g51040	QGF8F15ygab1
At5g51070	QGC12D04ygab1
At5g51110	QGF7C09ygab1
At5g51510	QGB11H21ygab1
At5g51660	QGI4E05ygab1
At5g52060	QGB11G08ygab1
At5g52520	QGG27D09ygab1
At5g53280	QGB11I02ygab1
At5g53370	QGF25D12ygab1
At5g53490	QGF26C11ygab1
At5g53650	QGF23M07ygab1
At5g54080	QGF17I05ygab1
At5g54270	QGH5D12ygab1
At5g54440	QGJ12A16ygab1
At5g54750	QGB6D08ygab1
At5g55260	QGH12I11ygab1
At5g55390	QGF19G09ygab1
At5g55610	QGA21N22ygab1
At5g55760	QGF7G08ygab1
At5g56090	QGJ1K24ygab1
At5g56130	QGJ6G06ygab1
At5g56290	QGB4h09ygab1
At5g56670	QGE18O10ygab1
At5g56710	QGH12O15ygab1
At5g56940	QGF19D21ygab1
At5g57190	QGB17L15ygab1
At5g57280	QGJ13O17ygab1
At5g57330	QGJ2O13ygab1
At5g57360	QGC25K22ygab1
At5g57850	QGF25G16ygab1
At5g57860	QGJ10I02ygab1
At5g58020	QGI11N16ygab1
At5g58030	QGJ10E24ygab1
At5g58110	QGF23E22ygab1
At5g58220	QGI4F16ygab1
At5g58470	QGF27F15ygab1
At5g58560	QGE5F04ygab1
At5g58730	QGF7C17ygab1
At5g59180	QGH13P22ygab1
At5g59240	QGI10H16ygab1
At5g59420	QGI13E13ygab1
At5g59610	QGF6B08ygab1
At5g59613	QGF19M13ygab1
At5g59970	QGE3h06ygab1
At5g60250	QGC22K17ygab1
At5g60550	QGF27N17ygab1
At5g60670	QGF20E05ygab1
At5g60790	QGG5C09ygab1
At5g60900	QGB24M01ygab1
At5g61030	QGB20I06ygab1
At5g61410	QGB17H08ygab1
At5g61510	QGJ15D10ygab1
At5g61530	QGJ14M19ygab1
At5g61640	QGF17H08ygab1
At5g62270	QGB14N10ygab1
At5g62360	QGE4a08ygab1
At5g62670	QGG21L15ygab1
At5g62680	QGB14P05ygab1
At5g62740	QGB1e12ygab1
At5g63135	QGI13N19ygab1
At5g63310	QGF10G09ygab1
At5g63690	QGF17C16ygab1
At5g63890	QGB18O20ygab1
At5g63905	QGI8K15ygab1
At5g64040	QGJ10L18ygab1
At5g64180	QGH5L18ygab1
At5g64260	QGB10L01ygab1
At5g64370	QGF26A04ygab1
At5g64510	QGE8A20ygab1
At5g64550	QGE14K21ygab1
At5g65220	QGG30G17ygab1
At5g65270	QGF10B02ygab1
At5g65280	QGH12G03ygab1
At5g65380	QGI13A09ygab1
At5g65620	QGJ12I24ygab1
At5g65650	QGF10L14ygab1
At5g65660	QGA11M10ygab1
At5g65930	QGJ8F04ygab1
At5g65980	QGG18N21ygab1
At5g66080	QGD7F08ygab1
At5g66120	QGG24L14ygab1
At5g66280	QGJ9P20ygab1
At5g66290	QGC15E05ygab1
At5g66680	QGA18P22ygab1
At5g66870	QGF19A04ygab1
At5g67210	QGF15E24ygab1
At5g67360	QGG12K18ygab1
At5g67380	QGA10L09ygab1
