At1g01050	32541497
At5g48480	QHM1P07ygab1
At5g49130	QHJ18J11ygab1
At5g49430	32540291
At5g49480	QHJ19O16ygab1
At5g49550	QHK11H15ygab1
At5g49720	QHB10M22ygab1
At5g49960	QHB32B03ygab1
At5g50200	QHM17O21ygab1
At5g50230	QHG18H11ygab1
At5g50460	32534673
At5g51010	32532037
At5g51040	QHL13M20ygab1
At5g51070	QHF6L22ygab1
At5g51110	QHK17O16ygab1
At5g51510	32540072
At5g51660	QHK12B11ygab1
At5g52060	QHF1d06ygab1
At5g52520	QHB29B11ygab1
At5g53280	QHG18F18ygab1
At5g53370	QHB29D08ygab1
At5g53490	QHB5L02ygab1
At5g53650	32535021
At5g54080	QHN23O05ygab1
At5g54270	32530536
At5g54440	QHA8E06ygab1
At5g54750	32537359
At5g55260	32541337
At5g55390	QHB6A16ygab1
At5g55610	32534719
At5g55760	QHB20I17ygab1
At5g56090	32531937
At5g56130	32539573
At5g56290	QHB5K04ygab1
At5g56670	32536835
At5g56710	32538573
At5g56940	QHM7C11ygab1
At5g57190	QHL19H14ygab1
At5g57280	QHI9J04ygab1
At5g57330	QHF8L02ygab1
At5g57360	QHJ4O15ygab1
At5g57850	QHB15J02ygab1
At5g57860	QHM11H17ygab1
At5g58020	QHB39J24ygab1
At5g58030	28371505
At5g58110	32530794
At5g58220	QHB19P08ygab1
At5g58470	QHF10K22ygab1
At5g58560	QHK5M06ygab1
At5g58730	32541351
At5g59180	QHB39B01ygab1
At5g59240	32538441
At5g59420	QHB18M19ygab1
At5g59610	32538512
At5g59613	32534732
At5g59970	32535944
At5g60250	QHB9A10ygab1
At5g60550	32534767
At5g60670	32538086
At5g60790	QHB4a11ygab1
At5g60900	QHM6L24ygab1
At5g61030	QHG18A16ygab1
At5g61410	QHK16E02ygab1
At5g61510	32538192
At5g61530	32534883
At5g61640	QHJ10L06ygab1
At5g62270	QHJ14J23ygab1
At5g62360	32534002
At5g62670	QHB20E24ygab1
At5g62680	QHF9B21ygab1
At5g62740	QHG10H03ygab1
At5g63135	QHA20P20ygab1
At5g63310	15005771
At5g63690	QHA9N04ygab1
At5g63890	QHB27E01ygab1
At5g63905	QHN10B22ygab1
At5g64040	32530428
At5g64180	32534361
At5g64260	QHB19H11ygab1
At5g64370	QHI12C04ygab1
At5g64510	QHE18O23ygab1
At5g64550	QHG16H04ygab1
At5g65220	QHM9N11ygab1
At5g65270	15005825
At5g65280	QHB30N12ygab1
At5g65380	QHB12P13ygab1
At5g65620	QHF14I07ygab1
At5g65650	QHM1O24ygab1
At5g65660	QHM4E02ygab1
At5g65930	QHN17B07ygab1
At5g65980	QHB19M04ygab1
At5g66080	QHG3f07ygab1
At5g66120	QHM14B12ygab1
At5g66280	QHL13K01ygab1
At5g66290	32532518
At5g66680	QHB18B14ygab1
At5g66870	QHK5G21ygab1
At5g67210	QHJ3J05ygab1
At5g67360	QHG14H06ygab1
At5g67380	QHB8P09ygab1
